true\pred,class 0,class 1,class 2,class 3,class 4,class 5,class 6
class 0,189,93,25,0,330,0,135
class 1,30,602,0,0,49,0,59
class 2,14,16,471,1,191,0,60
class 3,0,26,2,569,0,0,11
class 4,2,20,18,0,743,0,33
class 5,0,2,1,0,2,70,5
class 6,1,10,3,0,0,0,146
