true\pred,class 0,class 1,class 2,class 3,class 4,class 5,class 6
class 0,1,119,0,234,223,0,195
class 1,0,211,0,223,181,0,125
class 2,6,86,0,325,155,0,181
class 3,45,32,0,437,79,0,15
class 4,1,165,0,222,259,0,169
class 5,0,4,0,36,32,0,8
class 6,0,7,0,87,30,0,36
