true\pred,class 0,class 1,class 2,class 3,class 4,class 5,class 6
class 0,522,62,0,0,169,5,14
class 1,199,518,0,1,20,1,1
class 2,142,7,321,1,262,7,13
class 3,3,7,14,569,10,0,5
class 4,37,12,2,0,746,16,3
class 5,0,0,0,0,0,80,0
class 6,3,1,1,0,1,4,150
