true\pred,class 0,class 1,class 2,class 3,class 4,class 5,class 6
class 0,444,77,11,0,81,53,106
class 1,34,613,2,0,3,58,30
class 2,72,19,473,5,72,26,86
class 3,1,5,15,541,1,29,16
class 4,43,42,15,1,607,73,35
class 5,0,0,0,0,0,80,0
class 6,0,1,3,0,0,57,99
