true\pred,class 0,class 1,class 2,class 3,class 4,class 5,class 6
class 0,271,246,7,4,203,2,39
class 1,37,695,0,2,1,0,5
class 2,43,105,406,26,156,4,13
class 3,2,12,0,592,0,0,2
class 4,27,180,2,8,587,7,5
class 5,0,5,0,2,0,73,0
class 6,5,36,1,0,0,2,116
